,STATION,NET_ENTRIES,NET_EXITS
0,103 ST,13141.0,5964.0
1,110 ST-CATHEDRL,12763.0,6738.0
2,116 ST-COLUMBIA,15039.0,6782.0
3,125 ST,7900.0,7764.0
4,137 ST-CITY COL,12187.0,11672.0
5,14 ST,23706.0,13577.0
6,145 ST,9291.0,8080.0
7,157 ST,9993.0,8082.0
8,168 ST-BROADWAY,12648.0,12317.0
9,18 ST,7971.0,4963.0
10,181 ST,10039.0,10985.0
11,191 ST,7424.0,8181.0
12,207 ST,5901.0,2856.0
13,215 ST,2038.0,1042.0
14,23 ST,15106.0,12879.0
15,231 ST,8573.0,2251.0
16,238 ST,3549.0,315.0
17,242 ST,6671.0,3006.0
18,28 ST,15072.0,10673.0
19,34 ST-PENN STA,90031.0,78175.0
20,42 ST-TIMES SQ,93855.0,81015.0
21,50 ST,26571.0,25704.0
22,59 ST-COLUMBUS,13563.0,7770.0
23,66 ST-LINCOLN,20961.0,19191.0
24,72 ST,39288.0,37297.0
25,79 ST,16266.0,8883.0
26,86 ST,18437.0,18345.0
27,96 ST,12931.0,11247.0
28,CANAL ST,6283.0,6533.0
29,CHAMBERS ST,19288.0,16898.0
30,CHRISTOPHER ST,9686.0,9678.0
31,DYCKMAN ST,6110.0,3627.0
32,FRANKLIN ST,5919.0,3276.0
33,HOUSTON ST,16583.0,11796.0
34,MARBLE HILL-225,4955.0,1559.0
35,RECTOR ST,11140.0,8174.0
