STATION,BUSYNESS
103 ST,19105.0
110 ST-CATHEDRL,19501.0
116 ST-COLUMBIA,21821.0
125 ST,15664.0
137 ST-CITY COL,23859.0
14 ST,37283.0
145 ST,17371.0
157 ST,18075.0
168 ST-BROADWAY,24965.0
18 ST,12934.0
181 ST,21024.0
191 ST,15605.0
207 ST,8757.0
215 ST,3080.0
23 ST,27985.0
231 ST,10824.0
238 ST,3864.0
242 ST,9677.0
28 ST,25745.0
34 ST-PENN STA,168206.0
42 ST-TIMES SQ,174870.0
50 ST,52275.0
59 ST-COLUMBUS,21333.0
66 ST-LINCOLN,40152.0
72 ST,76585.0
79 ST,25149.0
86 ST,36782.0
96 ST,24178.0
CANAL ST,12816.0
CHAMBERS ST,36186.0
CHRISTOPHER ST,19364.0
DYCKMAN ST,9737.0
FRANKLIN ST,9195.0
HOUSTON ST,28379.0
MARBLE HILL-225,6514.0
RECTOR ST,19314.0
