STATION,PCT_CHANGE
103 ST,0.0024862933867921214
110 ST-CATHEDRL,0.006231793510898986
116 ST-COLUMBIA,0.03422051508137666
125 ST,0.0136451732053902
137 ST-CITY COL,0.0129358137803213
14 ST,0.005766346456347135
145 ST,-0.0027094398341576424
157 ST,0.012515752335949532
168 ST-BROADWAY,0.0019731265358750635
18 ST,0.007748835034900405
181 ST,0.013625605413340397
191 ST,0.013072503604526286
207 ST,0.01677929791274728
215 ST,-0.011193918364790638
23 ST,0.0041030543459883335
231 ST,0.049616041012277616
238 ST,0.02688825169428455
242 ST,0.011293255920361274
28 ST,0.005959247066263132
34 ST-PENN STA,0.008548120844505151
42 ST-TIMES SQ,0.005581001330676819
50 ST,0.010358407828587384
59 ST-COLUMBUS,0.009776247479500606
66 ST-LINCOLN,0.015093233407119312
72 ST,-0.0007069226090961763
79 ST,0.008178873987545436
86 ST,0.012465684545991758
96 ST,0.011408314656667584
CANAL ST,0.010835050073658198
CHAMBERS ST,0.02038306605739506
CHRISTOPHER ST,0.00788735241795971
DYCKMAN ST,-0.036694990302032986
FRANKLIN ST,0.003739059926728708
HOUSTON ST,0.004991250486801097
MARBLE HILL-225,0.04784046287336851
RECTOR ST,-0.003020527819780844
